0,0,0,80,-38,-91,89,-1
0,0,0,80,-38,-91,89,-1
0,0,0,80,-38,-91,89,-1
-38,-15,-2,8,55,-12,-25,-39
4,-1,-4,5,18,4,6,8
0,2,-2,-1,18,-1,-2,0
8,-1,-18,-17,-11,3,4,6
12,-3,-6,5,-48,-36,-9,-8
9,-1,-7,-3,-90,-4,2,-4
3,3,1,0,43,8,-11,-15
-4,-8,-15,-26,-50,-6,-6,-14
-1,0,5,-5,-4,-10,-9,-8
7,5,8,42,20,9,1,-5
-17,-4,-15,-42,-18,2,-7,2
39,21,24,26,28,4,-10,-1
-24,-10,15,72,-13,4,2,-1
-12,-17,-29,-17,-22,24,3,5
-33,2,10,0,-98,-84,-38,-27
20,24,27,-9,-12,-18,14,20
-28,-39,-87,-77,-20,-4,-17,-7
-4,-2,41,14,23,25,6,-22
-1,8,71,46,5,-7,-11,-23
-2,-3,-28,-65,-31,-49,-30,-20
0,0,14,-18,-8,-4,5,10
19,44,53,108,41,23,7,9
-9,-24,-9,-5,-8,7,2,4
-23,-39,-72,-92,-66,5,4,-5
9,7,5,2,22,12,6,10
6,15,3,43,12,1,3,6
8,11,17,27,-5,13,6,17
-13,-8,-19,-23,-35,-12,-8,-13
-3,-19,-63,-35,-8,11,6,-3
11,23,45,11,9,12,9,11
-7,-12,-16,-41,-19,21,2,-9
10,8,10,55,14,2,4,7
-9,-10,-5,-13,-48,-34,-8,-15
-9,-14,-35,-22,7,2,-2,-7
-7,-15,8,0,40,-7,-8,-6
9,14,2,17,13,5,1,1
-8,-1,0,11,-5,-6,-13,-15
1,3,5,36,8,0,0,-1
0,4,6,18,-35,7,3,4
-9,0,8,-8,-4,-7,-2,-4
-2,4,13,7,13,-6,-10,-12
26,-2,-3,-10,-7,10,24,86
-12,-18,-39,-88,-25,-25,-16,-19
1,2,13,19,-11,-8,3,-5
2,-7,-15,31,-1,-4,4,8
2,4,4,-13,-5,4,2,-15
0,5,18,4,-20,4,3,6
-7,-6,-2,-5,-9,-2,0,-10
15,15,20,29,-11,15,14,30
10,-9,-38,-54,-18,-11,-1,6
-24,2,-2,-32,3,-9,-10,3
2,-10,-17,-24,-23,2,-9,0
16,-2,-7,-9,-3,-4,3,7
10,-1,-14,-16,-3,-3,-15,2
-9,-8,2,2,-29,3,-1,-13
1,12,7,22,3,-13,7,10
-26,-18,-10,-20,-38,23,3,-14
-87,4,4,-6,-20,-9,-1,7
13,8,4,7,2,-2,-2,-8
-2,3,12,14,-2,1,0,-2
-7,-1,2,3,-6,-3,-2,-3
-9,-5,-4,1,-5,-3,-1,2
2,3,-6,-1,-1,0,0,2
-8,2,9,-9,-2,0,0,1
-3,-3,-1,-9,-2,-3,-1,-2
1,-1,-8,0,-3,-3,1,1
-4,-7,-8,1,0,1,0,-3
7,4,-7,-7,-2,-2,-1,-1
-4,-2,-2,-1,-1,-2,-2,-2
-3,-5,-6,-7,-2,-1,1,0
1,1,-9,0,-1,0,-1,-2
-4,-4,1,-6,-1,-12,-9,-5
-3,-2,-3,-8,2,-2,-2,-2
-3,0,0,-3,4,-2,-2,-3
-4,-6,-10,-8,-9,-4,-2,-3
0,1,6,9,1,0,0,0
-1,5,5,-5,-1,-1,0,0
-4,-3,-4,-8,-1,-1,-3,-3
0,-5,-1,-4,1,2,0,1
-3,-2,-11,-16,-10,-3,0,-2
1,2,2,2,2,2,-1,1
-1,-1,-1,-11,5,0,-1,-2
-1,-4,-3,-4,6,2,0,-2
-4,4,11,36,1,-6,-6,-2
-5,-6,-7,-15,-13,3,-4,-3
1,2,-11,-39,-27,5,-30,-4
1,-1,8,30,20,9,4,-2
-3,-6,-2,-21,-11,-3,2,-4
-2,2,6,8,13,-13,42,13
0,-3,-1,-3,-2,0,-6,-2
0,-3,-4,-5,-2,4,-2,1
-2,1,-5,-3,-1,1,2,-1
0,-2,-3,-4,0,-20,-21,-4
-4,-2,0,-1,0,3,2,0
0,-1,0,-2,0,4,7,2
4,-2,-2,-1,2,2,-11,0
0,-1,-1,0,-2,-1,-5,0
