0,0,0,80,-54,-66,88,-1
0,0,0,80,-54,-66,88,-1
0,0,0,80,-54,-66,88,-1
1,2,-3,-12,-7,-5,-4,-4
2,-1,4,4,5,2,-1,0
-2,-1,1,-3,-9,-9,-3,-3
-19,-3,-7,-6,-2,-2,-6,-4
-3,-6,-5,-12,-2,-1,0,-4
0,0,-7,-14,-1,-7,-1,0
0,1,5,20,3,0,0,1
-1,-3,-20,-14,0,-2,-2,-4
-3,-1,-6,-10,-10,-5,-1,0
-1,7,26,40,12,1,-10,-4
-5,-6,-3,12,0,-2,0,-3
-13,-13,-1,22,-10,-3,0,-1
15,11,22,-4,-7,1,10,63
5,16,10,-5,-9,2,1,-1
36,17,3,6,10,33,52,64
-7,-3,-4,-1,-3,-13,-15,-20
14,21,58,35,27,43,45,13
-7,-14,-22,-7,14,19,13,3
-13,-4,10,-11,16,8,-29,-18
12,-7,-18,-24,8,-28,-18,16
43,30,39,21,-21,106,90,60
-24,-22,-23,21,26,-39,-68,-39
30,30,15,29,59,-97,-17,20
24,20,-2,38,85,-77,32,23
-35,-37,-34,-107,-96,0,-20,-25
1,6,17,9,44,-34,-7,1
20,18,7,11,32,14,54,41
0,18,41,-14,-15,-96,-9,-9
11,9,8,25,-7,9,50,25
14,24,35,1,40,53,5,4
-10,4,15,29,55,-11,-22,-12
28,35,39,45,99,-14,-21,14
9,-5,-35,5,9,-24,7,4
-5,2,6,-2,23,-12,9,6
11,11,13,8,14,24,6,14
5,2,9,18,73,-59,5,10
-9,-33,-58,-67,-71,-30,27,6
-5,4,8,46,24,-1,-4,-6
-26,-24,-17,-46,-61,-30,9,-20
-9,-9,-8,2,-16,-100,-47,-12
4,19,22,27,78,-49,-26,-5
4,-5,-12,20,22,-10,69,26
-9,-9,-20,-29,11,16,-15,-6
-3,0,0,-1,2,-1,9,4
-12,-14,-2,-29,-38,88,-24,-22
-14,-3,11,23,39,-22,-28,-30
-10,-3,-2,-36,-34,27,1,-5
-9,-2,1,7,10,6,6,5
5,20,44,65,43,16,-38,-15
-16,-7,-3,28,9,6,2,-3
-5,-5,-14,-53,9,16,25,8
3,-1,-2,-15,-15,0,7,0
4,9,15,18,13,6,4,1
7,11,50,119,57,5,0,1
-1,-2,0,-1,8,1,5,3
-2,1,18,70,12,13,-10,-4
0,-2,-16,-19,3,5,9,-2
-5,1,0,-30,-21,-9,-3,-3
-3,-1,-4,-1,-8,-5,-3,0
-5,-8,-14,-18,-12,8,-19,-8
1,-4,-8,-2,0,2,-4,-3
1,-1,-6,-8,0,-6,-1,0
-6,-4,7,29,19,0,-1,-4
-6,-4,-12,-24,-11,-2,-1,-3
0,-1,-2,-7,-4,-2,-3,0
1,0,7,5,-9,-5,-2,-3
-4,-2,1,-2,-3,-1,-2,-1
0,0,-8,-51,-4,-1,-1,-2
-4,-3,-9,-12,-4,-2,-2,-2
1,-1,-6,-13,-9,1,4,3
-3,0,0,-1,3,0,0,-2
3,3,10,15,7,2,0,0
4,8,11,-7,1,-2,-2,0
-1,-1,3,-2,-1,-2,-2,-2
1,5,13,10,8,4,2,2
-3,1,1,1,1,-3,-2,-2
-4,-8,-12,-1,2,-1,-3,-4
-4,1,-8,-9,-4,-3,-1,-1
0,3,9,30,16,-1,1,2
-3,-3,-7,4,-3,0,1,0
3,4,15,16,14,3,2,2
1,6,22,51,17,2,-1,1
1,-3,-3,-11,-11,0,20,0
-1,-2,-3,5,2,2,-2,-2
-1,2,7,8,4,2,-3,0
1,-2,-6,-1,-6,-5,-1,2
2,3,2,0,-4,-2,1,0
5,-1,-3,-9,-8,16,-11,1
3,-1,4,14,11,4,0,2
12,1,0,-9,-4,-1,-3,1
1,-2,1,9,0,-3,1,0
-1,-2,-1,12,-4,-1,0,-1
0,1,0,2,1,-1,-1,-1
-5,-2,-5,-17,-5,2,2,1
-3,-1,0,-8,-2,-2,-4,-1
2,0,1,3,0,2,3,1
-1,-1,-2,-2,1,-1,-2,-1
